# E(eV),Radius(Rp),Tau
1.999602083405917256e+03,0.000000000000000000e+00,2.592645064598006477e-01
1.999602083405917256e+03,4.275865111071519256e+08,2.592645064598006477e-01
1.999602083405917256e+03,8.551730222143038511e+08,2.592645064598006477e-01
1.999602083405917256e+03,1.282759533321455956e+09,2.592645064598006477e-01
1.999602083405917256e+03,1.710346044428607702e+09,2.592645064598006477e-01
1.999602083405917256e+03,2.137932555535759449e+09,2.592645064598006477e-01
1.999602083405917256e+03,2.565519066642911911e+09,2.592645064598006477e-01
1.999602083405917256e+03,2.993105577750063896e+09,2.592645064598006477e-01
1.999602083405917256e+03,3.420692088857215405e+09,2.592645064598006477e-01
1.999602083405917256e+03,3.848278599964367390e+09,2.592645064598006477e-01
1.999602083405917256e+03,4.275865111071518898e+09,2.592645064598006477e-01
1.999602083405917256e+03,4.703451622178671837e+09,2.592645064598006477e-01
1.999602083405917256e+03,5.131038133285823822e+09,2.592645064598006477e-01
1.999602083405917256e+03,5.558624644392974854e+09,2.592645064598006477e-01
1.999602083405917256e+03,5.986211155500127792e+09,2.592645064598006477e-01
1.999602083405917256e+03,6.413797666607279778e+09,2.592645064598006477e-01
1.999602083405917256e+03,6.841384177714430809e+09,2.592645064598006477e-01
1.999602083405917256e+03,7.268970688821582794e+09,2.592645064598006477e-01
1.999602083405917256e+03,7.696557199928734779e+09,2.592645064598006477e-01
1.999602083405917256e+03,8.124143711035886765e+09,2.592645064598006477e-01
1.999602083405917256e+03,8.551730222143037796e+09,2.592645064598006477e-01
1.999602083405917256e+03,8.630283369881910324e+09,2.592645064598006477e-01
1.999602083405917256e+03,9.057869880989061356e+09,4.049908117944639799e-03
1.999602083405917256e+03,9.485456392096214294e+09,1.002590563798948751e-03
1.999602083405917256e+03,9.913042903203365326e+09,3.003202822713212507e-04
1.999602083405917256e+03,1.034062941431051826e+10,1.432292428896264689e-04
1.999602083405917256e+03,1.076821592541766930e+10,8.620986619461332406e-05
1.999602083405917256e+03,1.119580243652482033e+10,5.620758663183729020e-05
1.999602083405917256e+03,1.162338894763197327e+10,3.904141547513549117e-05
1.999602083405917256e+03,1.205097545873912430e+10,2.861079578604252985e-05
1.999602083405917256e+03,1.247856196984627533e+10,2.190582209210970312e-05
1.999602083405917256e+03,1.290614848095342827e+10,1.733233607912119026e-05
1.999602083405917256e+03,1.333373499206057930e+10,1.409672026212501961e-05
1.999602083405917256e+03,1.376132150316773033e+10,1.173363192332175103e-05
1.999602083405917256e+03,1.418890801427488327e+10,9.950456838831481617e-06
1.999602083405917256e+03,1.461649452538203430e+10,8.556412566950023673e-06
1.999602083405917256e+03,1.504408103648918533e+10,7.442571089817155719e-06
1.999602083405917256e+03,1.547166754759633827e+10,6.531509252437313111e-06
1.999602083405917256e+03,1.589925405870348930e+10,5.779167146642446238e-06
1.999602083405917256e+03,1.632684056981064224e+10,5.145093778750622138e-06
1.999602083405917256e+03,1.675442708091779137e+10,4.604091011803751467e-06
1.999602083405917256e+03,1.718201359202494431e+10,4.138930872326795957e-06
1.999602083405917256e+03,1.760960010313209915e+10,3.731327481639760824e-06
1.999602083405917256e+03,1.803718661423925018e+10,3.377853700575198538e-06
1.999602083405917256e+03,1.846477312534639740e+10,3.066140208655190485e-06
1.999602083405917256e+03,1.889235963645355225e+10,2.790982447285207856e-06
1.999602083405917256e+03,1.931994614756070709e+10,2.542612023531420115e-06
1.999602083405917256e+03,1.974753265866785431e+10,2.324134236350722046e-06
1.999602083405917256e+03,2.017511916977500534e+10,2.128685259669148874e-06
1.999602083405917256e+03,2.060270568088216019e+10,1.950069262114925285e-06
1.999602083405917256e+03,2.103029219198931122e+10,1.790953519455469878e-06
1.999602083405917256e+03,2.145787870309646225e+10,1.648034156218722498e-06
1.999602083405917256e+03,2.188546521420361328e+10,1.519086737736076344e-06
1.999602083405917256e+03,2.231305172531076431e+10,1.399340533187845077e-06
1.999602083405917256e+03,2.274063823641791916e+10,1.291865918396829750e-06
1.999602083405917256e+03,2.316822474752507019e+10,1.194799559597675308e-06
1.999602083405917256e+03,2.359581125863221741e+10,1.103465656499848157e-06
1.999602083405917256e+03,2.402339776973937225e+10,1.023431708001895079e-06
1.999602083405917256e+03,2.445098428084652710e+10,9.503430016661589665e-07
1.999602083405917256e+03,2.487857079195367432e+10,8.796364427478456717e-07
1.999602083405917256e+03,2.530615730306082535e+10,8.190143985826424575e-07
1.999602083405917256e+03,2.573374381416798019e+10,7.608263786990564578e-07
1.999602083405917256e+03,2.616133032527513123e+10,7.075720989092619328e-07
1.999602083405917256e+03,2.658891683638228226e+10,6.602893699508121974e-07
1.999602083405917256e+03,2.701650334748943329e+10,6.133905226907880352e-07
1.999602083405917256e+03,2.744408985859658432e+10,5.742422032187500005e-07
1.999602083405917256e+03,2.787167636970373917e+10,5.346391289954073794e-07
1.999602083405917256e+03,2.829926288081089020e+10,5.003509262239061462e-07
1.999602083405917256e+03,2.872684939191804123e+10,4.684230733514082265e-07
1.999602083405917256e+03,2.915443590302519226e+10,4.373503283036930297e-07
1.999602083405917256e+03,2.958202241413234711e+10,4.082216163391532867e-07
1.999602083405917256e+03,3.000960892523949814e+10,3.832891298386608239e-07
1.999602083405917256e+03,3.043719543634664536e+10,3.601012820271940393e-07
1.999602083405917256e+03,3.086478194745380020e+10,3.367037068048659407e-07
1.999602083405917256e+03,3.129236845856095505e+10,3.149922354444632788e-07
1.999602083405917256e+03,3.171995496966810226e+10,2.964984989336136300e-07
1.999602083405917256e+03,3.214754148077525330e+10,2.766848439434671241e-07
1.999602083405917256e+03,3.257512799188240814e+10,2.601146916441468389e-07
1.999602083405917256e+03,3.300271450298955917e+10,2.443491528984657758e-07
1.999602083405917256e+03,3.343030101409671402e+10,2.281022611792458901e-07
1.999602083405917256e+03,3.385788752520386124e+10,2.154217781150827637e-07
1.999602083405917256e+03,3.428547403631101227e+10,2.015179230046007159e-07
1.999602083405917256e+03,3.471306054741816711e+10,1.890573777008144021e-07
1.999602083405917256e+03,3.514064705852531433e+10,1.754802253544843233e-07
1.999602083405917256e+03,3.556823356963246918e+10,1.658864625175363787e-07
